date,count
2020-01-01,15
2020-01-02,17
2020-01-03,30
2020-01-04,29
2020-01-05,13
2020-01-06,31
2020-01-07,23
2020-01-08,23
2020-01-09,25
2020-01-10,22
2020-01-11,21
2020-01-12,13
2020-01-13,26
2020-01-14,25
2020-01-15,21
2020-01-16,22
2020-01-17,18
2020-01-18,11
2020-01-19,9
2020-01-20,17
2020-01-21,14
2020-01-22,21
2020-01-23,26
2020-01-24,19
2020-01-25,11
2020-01-26,10
2020-01-27,23
2020-01-28,27
2020-01-29,19
2020-01-30,16
2020-01-31,29
2020-02-01,21
2020-02-02,26
2020-02-03,35
2020-02-04,27
2020-02-05,33
2020-02-06,19
2020-02-07,15
2020-02-08,6
2020-02-09,20
2020-02-10,11
2020-02-11,23
2020-02-12,21
2020-02-13,13
2020-02-14,12
2020-02-15,36
2020-02-16,8
2020-02-17,12
2020-02-18,9
2020-02-19,27
2020-02-20,9
2020-02-21,17
2020-02-22,19
2020-02-23,14
2020-02-24,8
2020-02-25,18
2020-02-26,17
2020-02-27,22
2020-02-28,16
2020-02-29,32
2020-03-01,3
2020-03-02,9
2020-03-03,12
2020-03-04,12
2020-03-05,11
2020-03-06,18
2020-03-07,21
2020-03-08,13
2020-03-09,14
2020-03-10,16
2020-03-11,27
2020-03-12,20
2020-03-13,13
2020-03-14,10
2020-03-15,23
2020-03-16,12
2020-03-17,22
2020-03-18,14
2020-03-19,23
2020-03-20,20
2020-03-21,18
2020-03-22,13
2020-03-23,32
2020-03-24,22
2020-03-25,19
2020-03-26,11
2020-03-27,21
2020-03-28,19
2020-03-29,16
2020-03-30,16
2020-03-31,23
2020-04-01,22
2020-04-02,14
2020-04-03,20
2020-04-04,16
2020-04-05,7
2020-04-06,25
2020-04-07,26
2020-04-08,18
2020-04-09,19
2020-04-10,17
2020-04-11,10
2020-04-12,13
2020-04-13,24
2020-04-14,13
2020-04-15,13
2020-04-16,15
2020-04-17,13
2020-04-18,21
2020-04-19,12
2020-04-20,15
2020-04-21,15
2020-04-22,8
2020-04-23,10
2020-04-24,16
2020-04-25,11
2020-04-26,10
2020-04-27,13
2020-04-28,10
2020-04-29,20
2020-04-30,10
2020-05-01,10
2020-05-02,10
2020-05-03,5
2020-05-04,14
2020-05-05,23
2020-05-06,14
2020-05-07,14
2020-05-08,16
2020-05-09,7
2020-05-10,9
2020-05-11,9
2020-05-12,11
2020-05-13,11
2020-05-14,12
2020-05-15,12
2020-05-16,11
2020-05-17,6
2020-05-18,2
2020-05-19,17
2020-05-20,7
2020-05-21,10
2020-05-22,10
2020-05-23,15
2020-05-24,4
2020-05-25,10
2020-05-26,14
2020-05-27,12
2020-05-28,21
2020-05-29,12
2020-05-30,13
2020-05-31,12
2020-06-01,10
2020-06-02,6
2020-06-03,10
2020-06-04,11
2020-06-05,18
2020-06-06,7
2020-06-07,6
2020-06-08,12
2020-06-09,9
2020-06-10,14
2020-06-11,10
2020-06-12,9
2020-06-13,14
2020-06-14,12
2020-06-15,23
2020-06-16,13
2020-06-17,11
2020-06-18,4
2020-06-19,6
2020-06-20,33
2020-06-21,6
2020-06-22,13
2020-06-23,12
2020-06-24,9
2020-06-25,13
2020-06-26,12
2020-06-27,8
2020-06-28,7
2020-06-29,5
2020-06-30,16
2020-07-01,12
2020-07-02,10
2020-07-03,12
2020-07-04,5
2020-07-05,4
2020-07-06,11
2020-07-07,8
2020-07-08,8
2020-07-09,8
2020-07-10,12
2020-07-11,15
2020-07-12,8
2020-07-13,5
2020-07-14,6
2020-07-15,8
2020-07-16,10
2020-07-17,12
2020-07-18,5
2020-07-19,2
2020-07-20,9
2020-07-21,1
2020-07-22,8
2020-07-23,4
2020-07-24,3
2020-07-25,3
2020-07-26,1
2020-07-27,3
2020-07-28,5
2020-07-29,15
2020-07-30,4
2020-07-31,4
2020-08-01,8
2020-08-02,4
2020-08-03,2
2020-08-04,11
2020-08-05,7
2020-08-06,10
2020-08-07,11
2020-08-08,13
2020-08-09,5
2020-08-10,6
2020-08-11,9
2020-08-12,5
2020-08-13,12
2020-08-14,12
2020-08-15,8
2020-08-16,3
2020-08-17,17
2020-08-18,7
2020-08-19,9
2020-08-20,12
2020-08-21,6
2020-08-22,5
2020-08-23,1
2020-08-24,7
2020-08-25,11
2020-08-26,6
2020-08-27,15
2020-08-28,22
2020-08-29,7
2020-08-30,11
2020-08-31,14
2020-09-01,24
2020-09-02,11
2020-09-03,19
2020-09-04,20
2020-09-05,19
2020-09-06,21
2020-09-07,21
2020-09-08,21
2020-09-09,13
2020-09-10,13
2020-09-11,11
2020-09-12,14
2020-09-13,21
2020-09-14,16
2020-09-15,13
2020-09-16,13
2020-09-17,13
2020-09-18,22
2020-09-19,16
2020-09-20,15
2020-09-21,16
2020-09-22,18
2020-09-23,13
2020-09-24,13
2020-09-25,24
2020-09-26,29
2020-09-27,11
2020-09-28,18
2020-09-29,12
2020-09-30,15
2020-10-01,26
2020-10-02,19
2020-10-03,17
2020-10-04,20
2020-10-05,23
2020-10-06,15
2020-10-07,21
2020-10-08,21
